Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Condutividade;Temperatura;Integridade Ambiental
#07;0.328217709;-0.442859888;-0.899448328;-0.437412227;-1.377879728;-0.209407444;0.649852522;-0.030260111;0.22402719
#08;0.387893656;6.000868648;-0.359170042;-0.964181668;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.941348464;-0.427559698;1.042025353;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;-0.681516501;-0.359170042;-0.740024459;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;-0.299665921;-0.748991084;-0.325333622;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.416303916;-0.461754526;0.515255912;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.129915981;-0.926804191;0.257475121;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.299665921;-0.509627286;-0.101176413;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.204203276;-0.256585557;-0.26929432;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.156471954;-0.632728668;-0.190839297;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;0.464035239;-0.290780385;0.571295214;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;0.511766561;-0.071933484;0.571295214;-0.779612337;-1.217005836;0.575274401;-0.030260111;-0.096011653
#09;0.447569603;-0.776979146;-0.564339011;-0.549490831;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.108740631;-0.208712797;-1.199546737;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.490591211;-0.769507981;-0.583114412;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.538322533;-0.694279358;-0.661569436;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;0.177647304;-0.666923496;0.179020098;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.729247823;-0.721635221;-0.661569436;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;1.132273754;-0.017221759;1.355845446;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.557415062;-0.516466251;-0.381372924;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.490591211;-0.701118324;-0.549490831;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.920173113;-0.591694874;-1.03142883;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-1.015635758;-0.147162106;-1.109883854;-0.711238921;-0.853150861;0.692005373;-0.030260111;1.397502948
#10;0.50724555;-0.681516501;-1.241396611;-0.549490831;-0.471931965;0.966124014;0.607699671;0.207497902;1.397502948
#10;0.50724555;-0.013277986;-0.906287294;-0.011513529;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;0.129915981;-0.085611415;0.179020098;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;-1.063367081;-0.427559698;-0.997805249;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;0.989079786;-0.619050736;1.109272516;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;-0.872441791;-0.954160053;-0.885726645;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.490591211;-1.015710744;-0.661569436;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-1.158829726;-0.270263488;-1.053844551;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
